datetime,open,high,low,close,volume,oi
2003-04-01 00:00:00+05:30,53.13,54.43,53.13,54.1,13833361,0
2003-04-02 00:00:00+05:30,54.39,55.06,54.09,54.34,12985922,0
2003-04-03 00:00:00+05:30,54.48,55.25,54.29,54.96,11578670,0
2003-04-04 00:00:00+05:30,55.08,56.61,55.08,56.49,25531397,0
2003-04-07 00:00:00+05:30,56.84,58.14,56.79,57.78,25607766,0
2003-04-08 00:00:00+05:30,57.37,57.52,56.69,57.01,15719008,0
2003-04-09 00:00:00+05:30,56.43,56.77,55.34,55.51,16523496,0
2003-04-10 00:00:00+05:30,55.42,55.54,54.3,54.91,15125247,0
2003-04-11 00:00:00+05:30,55.13,56.6,54.38,56.37,17958338,0
2003-04-15 00:00:00+05:30,56.4,56.44,52.77,54.34,30369195,0
2003-04-16 00:00:00+05:30,54.84,54.93,53.98,54.63,15705652,0
2003-04-17 00:00:00+05:30,54.63,54.63,53.16,53.54,16130644,0
2003-04-21 00:00:00+05:30,53.9,54.29,53.32,53.77,11230530,0
2003-04-22 00:00:00+05:30,53.64,53.67,52.7,53.4,20139200,0
2003-04-23 00:00:00+05:30,54.19,54.76,51.93,52.21,82139184,0
2003-04-24 00:00:00+05:30,52.55,53.32,52.3,52.71,33771361,0
2003-04-25 00:00:00+05:30,52.36,52.86,51.4,51.63,28740083,0
2003-04-28 00:00:00+05:30,51.59,52.69,50.96,52.4,25355558,0
2003-04-29 00:00:00+05:30,52.55,52.72,52.12,52.52,16398629,0
2003-04-30 00:00:00+05:30,52.5,53.03,52.18,52.83,12640395,0
2003-05-02 00:00:00+05:30,52.86,52.92,52.23,52.64,12044431,0
2003-05-05 00:00:00+05:30,52.94,53.13,51.88,52.08,14351647,0
2003-05-06 00:00:00+05:30,51.98,52.49,51.57,51.96,16009725,0
2003-05-07 00:00:00+05:30,51.28,51.73,51.01,51.12,15269870,0
2003-05-08 00:00:00+05:30,51.01,51.2,49.67,49.96,27211678,0
2003-05-09 00:00:00+05:30,49.5,50.72,49.5,50.25,15931901,0
